Disease," Symptom_1",Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
"Paralysis (brain hemorrhage) "," [' altered_sensorium'"," ' headache'"," ' vomiting'"," ' weakness_of_one_body_side']",,,,,,,,,,,,,
"Jaundice "," ['itching'"," ' dark_urine'"," ' abdominal_pain'"," ' high_fever'"," ' vomiting'"," ' fatigue'"," ' weight_loss'"," ' yellowish_skin']",,,,,,,,,
"Malaria "," [' chills'"," ' muscle_pain'"," ' high_fever'"," ' vomiting'"," ' diarrhoea'"," ' nausea'"," ' headache'"," ' sweating']",,,,,,,,,
"Chicken pox "," ['itching'"," ' lethargy'"," ' mild_fever'"," ' high_fever'"," ' skin_rash'"," ' red_spots_over_body'"," ' fatigue'"," ' loss_of_appetite'"," ' swelled_lymph_nodes'"," ' headache'"," ' malaise']",,,,,,
"Dengue "," [' chills'"," ' muscle_pain'"," ' vomiting'"," ' skin_rash'"," ' high_fever'"," ' red_spots_over_body'"," ' back_pain'"," ' fatigue'"," ' loss_of_appetite'"," ' joint_pain'"," ' nausea'"," ' pain_behind_the_eyes'"," ' headache'"," ' malaise']",,,
"Typhoid "," [' chills'"," ' abdominal_pain'"," ' high_fever'"," ' vomiting'"," ' diarrhoea'"," ' fatigue'"," ' constipation'"," ' nausea'"," ' toxic_look_(typhos)'"," ' headache'"," ' belly_pain']",,,,,,
"hepatitis A "," [' dark_urine'"," ' muscle_pain'"," ' abdominal_pain'"," ' vomiting'"," ' diarrhoea'"," ' mild_fever'"," ' loss_of_appetite'"," ' nausea'"," ' joint_pain'"," ' yellowing_of_eyes'"," ' yellowish_skin']",,,,,,
"Hepatitis B "," [' yellow_urine'"," 'itching'"," ' lethargy'"," ' dark_urine'"," ' abdominal_pain'"," ' receiving_blood_transfusion'"," ' fatigue'"," ' loss_of_appetite'"," ' receiving_unsterile_injections'"," ' yellowing_of_eyes'"," ' malaise'"," ' yellowish_skin']",,,,,
"Hepatitis C "," [' fatigue'"," ' loss_of_appetite'"," ' nausea'"," ' yellowing_of_eyes'"," ' family_history'"," ' yellowish_skin']",,,,,,,,,,,
"Hepatitis D "," [' dark_urine'"," ' abdominal_pain'"," ' vomiting'"," ' fatigue'"," ' loss_of_appetite'"," ' joint_pain'"," ' nausea'"," ' yellowing_of_eyes'"," ' yellowish_skin']",,,,,,,,
"Hepatitis E "," [' dark_urine'"," ' abdominal_pain'"," ' high_fever'"," ' vomiting'"," ' fatigue'"," ' loss_of_appetite'"," ' joint_pain'"," ' nausea'"," ' yellowing_of_eyes'"," ' acute_liver_failure'"," ' coma'"," ' stomach_bleeding'"," ' yellowish_skin']",,,,
"Alcoholic hepatitis "," [' swelling_of_stomach'"," ' abdominal_pain'"," ' vomiting'"," ' fluid_overload'"," ' distention_of_abdomen'"," ' history_of_alcohol_consumption'"," ' yellowish_skin']",,,,,,,,,,
"Tuberculosis "," [' chills'"," ' mild_fever'"," ' vomiting'"," ' high_fever'"," ' blood_in_sputum'"," ' fatigue'"," ' loss_of_appetite'"," ' weight_loss'"," ' chest_pain'"," ' swelled_lymph_nodes'"," ' cough'"," ' breathlessness'"," ' yellowing_of_eyes'"," ' phlegm'"," ' malaise'"," ' sweating']",
"Common Cold "," [' chills'"," ' loss_of_smell'"," ' muscle_pain'"," ' congestion'"," ' high_fever'"," ' runny_nose'"," ' fatigue'"," ' continuous_sneezing'"," ' sinus_pressure'"," ' chest_pain'"," ' swelled_lymph_nodes'"," ' cough'"," ' headache'"," ' phlegm'"," ' malaise'"," ' throat_irritation'"," ' redness_of_eyes']"
"Pneumonia "," [' chills'"," ' high_fever'"," ' fast_heart_rate'"," ' rusty_sputum'"," ' fatigue'"," ' chest_pain'"," ' cough'"," ' breathlessness'"," ' phlegm'"," ' malaise'"," ' sweating']",,,,,,
"Dimorphic hemmorhoids(piles) "," [' irritation_in_anus'"," ' pain_during_bowel_movements'"," ' constipation'"," ' bloody_stool'"," ' pain_in_anal_region']",,,,,,,,,,,,
"Heart attack "," [' sweating'"," ' breathlessness'"," ' vomiting'"," ' chest_pain']",,,,,,,,,,,,,
"Varicose veins "," [' swollen_legs'"," ' swollen_blood_vessels'"," ' cramps'"," ' prominent_veins_on_calf'"," ' fatigue'"," ' bruising'"," ' obesity']",,,,,,,,,,
"Hypothyroidism "," [' lethargy'"," ' brittle_nails'"," ' dizziness'"," ' abnormal_menstruation'"," ' fatigue'"," ' swollen_extremeties'"," ' puffy_face_and_eyes'"," ' cold_hands_and_feets'"," ' irritability'"," ' mood_swings'"," ' depression'"," ' enlarged_thyroid'"," ' weight_gain']",,,,
"Hyperthyroidism "," [' diarrhoea'"," ' fast_heart_rate'"," ' abnormal_menstruation'"," ' excessive_hunger'"," ' fatigue'"," ' muscle_weakness'"," ' weight_loss'"," ' restlessness'"," ' mood_swings'"," ' sweating'"," ' irritability']",,,,,,
"Hypoglycemia "," [' blurred_and_distorted_vision'"," ' vomiting'"," ' excessive_hunger'"," ' fatigue'"," ' nausea'"," ' anxiety'"," ' drying_and_tingling_lips'"," ' palpitations'"," ' headache'"," ' sweating'"," ' slurred_speech'"," ' irritability']",,,,,
"Osteoarthristis "," [' knee_pain'"," ' painful_walking'"," ' neck_pain'"," ' joint_pain'"," ' swelling_joints'"," ' hip_joint_pain']",,,,,,,,,,,
"Arthritis "," [' movement_stiffness'"," ' muscle_weakness'"," ' painful_walking'"," ' swelling_joints'"," ' stiff_neck']",,,,,,,,,,,,
"(vertigo) Paroymsal  Positional Vertigo "," [' spinning_movements'"," ' vomiting'"," ' unsteadiness'"," ' nausea'"," ' headache'"," ' loss_of_balance']",,,,,,,,,,,
"Acne "," [' blackheads'"," ' pus_filled_pimples'"," ' skin_rash'"," ' scurring']",,,,,,,,,,,,,
"Urinary tract infection "," [' bladder_discomfort'"," ' burning_micturition'"," ' foul_smell_of urine'"," ' continuous_feel_of_urine']",,,,,,,,,,,,,
"Psoriasis "," [' inflammatory_nails'"," ' skin_rash'"," ' skin_peeling'"," ' joint_pain'"," ' silver_like_dusting'"," ' small_dents_in_nails']",,,,,,,,,,,
"Impetigo "," [' yellow_crust_ooze'"," ' high_fever'"," ' skin_rash'"," ' red_sore_around_nose'"," ' blister']",,,,,,,,,,,,
